id_categoria,descripcion,nombre,cantidad_de_productos
301,"Bag - Bread, White, Plain",Nifedipine,6355
302,Rum - Mount Gay Eclipes,Female Fibroids,4153
303,Coffee - Hazelnut Cream,Medpride,1139
304,Bread Base - Goodhearth,PANDEL,8014
305,Cookies Oatmeal Raisin,Ketoconazole,4920
306,Juice - Apple 284ml,NITROSTAT,4484
307,Yokaline,Potassium Chloride,4019
308,Soy Protein,Technetium Tc99m Generator,0420
309,"Tuna - Canned, Flaked, Light",CVS pharmacy,2880
310,Bacardi Breezer - Strawberry,Equate Famotidine,1655
311,Sugar - Monocystal / Rock,Tizanidine Hydrochloride,5887
312,Beer - Labatt Blue,Herplex,1455
313,Parsnip,"Alka-Seltzer Plus Day Severe Cold, Cough And Flu",3027
314,"Pork - Ham, Virginia",Hasol Anti hair loss day tonic,8764
315,"Chestnuts - Whole,canned",ziprasidone hydrochloride,9056
316,Cookies - Englishbay Wht,Tricode,7794
317,Pepper - Pablano,Ibuprofen,0376
318,Wine - Ej Gallo Sonoma,Magnesium Citrate,1095
319,Wine - Alsace Riesling Reserve,Ferrum sidereum 20,8278
320,Cardamon Seed / Pod,Tickling Cough,7136
321,"Juice - V8, Tomato",PROCHLORPERAZINE MALEATE,9509
322,Blue Curacao - Marie Brizard,Ready Foundation,4343
323,Napkin - Beverage 1 Ply,ICS PLATINUM,1666
324,Onions - White,Maximum Strength,1303
325,Lettuce - Red Leaf,Calendula,4910
326,"Leeks - Baby, White",Plak Smacker,9620
327,Mikes Hard Lemonade,Foot Care Clotrimazole,3437
328,Bread - Rye,Stomach Cramps 1,6367
329,Bread - 10 Grain Parisian,Sol Protect,5753
330,Beef Dry Aged Tenderloin Aaa,Naproxen,4073
331,Wine - Duboeuf Beaujolais,Hypothalmupar,8921
332,Salt - Celery,Denti-Care Denti-Pro,5189
333,Creme De Menth - White,Throat Formula,9951
334,Pork - Bacon Cooked Slcd,CYMBALTA,5027
335,Peppercorns - Pink,TOPCARE,2078
336,Cheese - Mozzarella,Allium Cepa,5160
337,Spinach - Packaged,QUERCUS ALBA POLLEN,8143
338,Liners - Baking Cups,Propranolol Hyrochloride,0102
339,Pepper - Chili Powder,members mark famotidine,7075
340,Coffee - Espresso,Wal Zyr,4569
341,Sterno - Chafing Dish Fuel,mark. Help Wanted,8796
342,Bread - Sour Batard,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,9805
343,"Chocolate - Pistoles, Lactee, Milk",DIETHYLPROPION HYDROCHLORIDE,9228
344,Wakami Seaweed,sinus relief,3638
345,Yeast Dry - Fermipan,Dextrose in Lactated Ringers,5310
346,Chocolate - Mi - Amere Semi,Premier Value Sleep-Aid,3870
347,"Rum - Dark, Bacardi, Black",Morphine Sulfate,6287
348,Creamers - 10%,Chloroquine,8724
349,Bamboo Shoots - Sliced,Metronidazole,7739
350,Bread - Pita,LEVETIRACETAM,8412
351,Pork - Shoulder,PETROLATUM,7905
352,Apples - Sliced / Wedge,XEROSTOM,2476
353,Anchovy Fillets,SinuFrin,5365
354,Hersey Shakes,MS Contin,8022
355,Ketchup - Tomato,NICK RELIEF,8974
356,Vinegar - Red Wine,Isoniazid,2252
357,Bagel - Everything Presliced,Fentanyl Citrate,0546
358,Soup - Campbells Tomato Ravioli,"Pollens - Weeds and Garden Plants, Short Ragweed, Ambrosia artemisiifolia",2127
359,Cheese Cloth No 60,Secret Antiperspirant,5875
360,"Juice - Grape, White",Citalopram,3419
361,"Lettuce - Mini Greens, Whole",Dialyvite with Zinc,1434
362,Phyllo Dough,Amantadine Hydrochloride,9326
363,"Nestea - Ice Tea, Diet",Topical Anesthetic,8497
364,Sugar - Splenda Sweetener,Doxycycline,2706
365,Barramundi,metformin hydrochloride,2606
366,Beef - Tenderloin Tails,Abropernol,2434
367,Longos - Chicken Wings,Ferrum sidereum 6,4157
368,Russian Prince,TopCare Sore Throat Honey Lemon Flavor,1727
369,"Basil - Dry, Rubbed",Nadolol,7730
370,"Soup - Knorr, French Onion",Dobutamine Hydrochloride in Dextrose,3946
371,Soap - Pine Sol Floor Cleaner,Honeydew Melon,7835
372,Beer - Steamwhistle,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),4950
373,Veal - Sweetbread,Mark 3,5047
374,Clams - Bay,Promolaxin,2936
375,Cookies Cereal Nut,Bellagio Sunscreen SPF 30,0944
376,Ham Black Forest,Rabeprazole sodium,8053
377,Cheese - Feta,Omeprazole,5881
378,Butter Ripple - Phillips,donepezil hydrochloride,1355
379,"Juice - Pineapple, 341 Ml",Meloxicam,2491
380,Bagelers - Cinn / Brown Sugar,Carbidopa and Levodopa,9315
381,Sobe - Liz Blizz,Lansoprazole,7177
382,Juice - Cranberry 284ml,Ferrum sidereum Pancreas 10/4,0294
383,Dried Figs,Tuna Fish,1965
384,Beer - Molson Excel,Epi-Clenz Instant Hand Antiseptic,7977
385,Butter Ripple - Phillips,MEDI-DERM / L WITH LIDOCAINE,2603
386,"Sprite, Diet - 355ml",FENTANYL,7935
387,Scallops - In Shell,INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE,9931
388,Longos - Grilled Chicken With,CombiPatch (estradiol/norethindrone acetate transdermal system),9711
389,Lettuce - Green Leaf,Saltbush,4569
390,Cranberries - Fresh,harmon face values omeprazole,1313
391,"Doilies - 7, Paper",SUPREP Bowel Prep,3251
392,Beer - Mcauslan Apricot,Womens Gentle Laxative,5052
393,Chips Potato Salt Vinegar 43g,ProQuad,1193
394,Tomatoes - Yellow Hot House,ABILIFY,3609
395,Pastrami,Moisture Renew,8075
396,Yucca,Advanced Protection,4130
397,Apple - Granny Smith,ISOSORBIDE MONONITRATE,9980
398,Avocado,Cetirizine Hydrochloride,1359
399,Jolt Cola - Electric Blue,Coppertone KIDS,5975
400,Basil - Seedlings Cookstown,LBel,5804
401,"Soup - Knorr, Country Bean",Skin So Soft Bug Guard Plus IR3535,3969
402,Wasabi Powder,Feverall,8664
403,"Flour - Buckwheat, Dark",Pure System Stop Blemish,6148
404,Salmon - Canned,Ipratropium Bromide,2712
405,"Wine - Red, Cabernet Merlot",Povidone Iodine Surgical Scrub,0965
406,Beef Dry Aged Tenderloin Aaa,milk of magnesia,3897
407,Wine - Maipo Valle Cabernet,CVS Pore Unclogging Scrub,9380
408,Soup - Campbells Chicken,Carvedilol,7382
409,Wine - Kwv Chenin Blanc South,Montelukast,2943
410,Carbonated Water - Orange,Lisinopril,0346
411,Longos - Grilled Chicken With,Pravastatin Sodium,6338
412,Bagelers - Cinn / Brown Sugar,Antibacterial Foaming Hand Cleanser,8031
413,Milk 2% 500 Ml,Glyburide and Metformin,5304
414,Wine - Chardonnay South,Amlodipine besylate and Atorvastatin calcium,1093
415,"Wine - Red, Pelee Island Merlot",Black Oak,2251
416,Arizona - Green Tea,The Cover Classic Foundation,4759
417,Pate - Peppercorn,Medical Provider Single Use EZ Flu Shot Flucelvax 2014-2015 Kit,0619
418,Nantucket - 518ml,Lamotrigine,6152
419,"Asparagus - White, Canned",Nitro-Time,9411
420,Rosemary - Dry,Gentamicin Sulfate,6825
421,Long Island Ice Tea,Quinapril HCL and Hydrochlorothiazide,3158
422,Beef Striploin Aaa,Pleo Muc,2725
423,Vinegar - Raspberry,Clonidine Hydrochloride,0070
424,"Sauce - Soya, Dark",Rimmel London,2904
425,Flour - Cake,ENALAPRILAT,0593
426,Ham - Black Forest,Aminosyn II,3955
427,Cookie Choc,Flecainide Acetate,1019
428,Beef - Cow Feet Split,Wal-Finate D,7092
429,"Arctic Char - Fresh, Whole",Risperidone,7839
430,Peach - Halves,equate nite time,9235
431,Nantucket - Kiwi Berry Cktl.,Potassium Citrate,4352
432,Pecan Raisin - Tarts,Nafcillin,3509
433,Marjoram - Fresh,Glipizide and Metformin HCl,5876
434,Mushroom - White Button,Helixate FS,8007
435,"Pork - Bacon, Sliced",Cover Fx BB Gel Mattfying Anti-Blemish G Med-Deep,6958
436,Cheese - Roquefort Pappillon,Miconazole,0251
437,Wine - Shiraz South Eastern,GloStrips,6926
438,"Sauce - White, Mix",Penicilium chrysogenum,3672
439,Soup - Verve - Chipotle Chicken,Cephalexin,3440
440,Beef - Diced,Hydromet,1974
441,"Bread - Pumpernickle, Rounds",Levitra,6444
442,Flower - Potmums,Alendronate Sodium,3345
443,Tarts Assorted,BOTRYTIS CINEREA,6055
444,Flavouring - Orange,Diethylpropion HCl Controlled-Release,5902
445,Food Colouring - Pink,Givenchy TEINT COUTURE Long Wearing Fluid Foundation with Sunscreen Broad Spectrum SPF 20 ELEGANT GINGER,4312
446,Rice - Brown,Olanzapine,9211
447,Sauce - Soy Low Sodium - 3.87l,Premarin,4172
448,Flour - Strong Pizza,Diltiazem Hydrochloride,7554
449,Aspic - Amber,ibuprofen,2363
450,Beer - Upper Canada Light,Bio Centaury,0548
451,Salmon Steak - Cohoe 6 Oz,ZYTEC,3174
452,"Pail - 4l White, With Handle",Jade,8682
453,Creme De Cacao Mcguines,IMAGE ESSENTIALS,1741
454,Milk - Chocolate 250 Ml,Bedside-Care Perineal Wash,9702
455,"Bread - Bagels, Mini",Healthy Accents Cold and Flu,9009
456,Cheese - Fontina,Simvastatin,0100
457,"Pasta - Shells, Medium, Dry",Sore Throat,5320
458,"Red Snapper - Fresh, Whole",Ceftazidime,8391
459,Wine - Dubouef Macon - Villages,Aveeno Active Naturals Positively Radiant Daily Moisturizer,7976
460,Appetizer - Mango Chevre,Toffee,3336
461,Appetizer - Crab And Brie,Nortriptyline Hydrochloride,3129
462,French Kiss Vanilla,Divalproex Sodium,3490
463,"Gingerale - Schweppes, 355 Ml",Mosquito,3072
464,Jameson - Irish Whiskey,Orris Root,2703
465,Table Cloth 91x91 Colour,mycophenolate mofetil,8402
466,Zucchini - Green,Smart Sense ibuprofen,3477
